ad_id,click,view,ctr
104798,125.0,112611.0,0.0011100158954276225
29927,56.0,31452.0,0.0017804909067785832
44227,45.0,15598.0,0.0028849852545198102
23945,28.0,9385.0,0.0029834842834310068
39543,66.0,17733.0,0.003721874471324649
44695,37.0,6238.0,0.005931388265469702
113522,66.0,10615.0,0.0062176165803108805
26040,75.0,11609.0,0.0064605047807735376
41012,30.0,4529.0,0.00662397880326783
113088,42.0,5619.0,0.007474639615589963
107651,44.0,5034.0,0.00874056416368693
23456,82.0,9247.0,0.008867740888936953
41610,36.0,4002.0,0.008995502248875561
102587,205.0,22247.0,0.00921472558097721
35378,180.0,18468.0,0.009746588693957114
23776,21.0,2055.0,0.010218978102189781
43928,181.0,17002.0,0.010645806375720504
44635,110.0,9475.0,0.011609498680738786
46583,98.0,8418.0,0.011641720123544785
45062,42.0,3521.0,0.011928429423459244
46932,90.0,6426.0,0.014005602240896359
28441,30.0,2069.0,0.014499758337361043
38229,45.0,3070.0,0.014657980456026058
36988,58.0,3793.0,0.015291326127076193
46668,79.0,5098.0,0.015496273048254218
42431,24.0,1446.0,0.016597510373443983
111941,88.0,5167.0,0.01703115928004645
110605,21.0,1219.0,0.017227235438884332
11887,187.0,10401.0,0.017979040476877223
42754,25.0,1269.0,0.019700551615445233
120368,169.0,8130.0,0.02078720787207872
105161,66.0,2757.0,0.023939064200217627
119277,52.0,2145.0,0.024242424242424242
122086,50.0,1999.0,0.02501250625312656
110624,60.0,2361.0,0.025412960609911054
40231,27.0,1034.0,0.02611218568665377
42908,89.0,3358.0,0.026503871351995237
44115,43.0,1440.0,0.029861111111111113
105953,168.0,5503.0,0.03052880247137925
98811,65.0,2113.0,0.03076194983435873
9776,45.0,1338.0,0.033632286995515695
107271,69.0,2001.0,0.034482758620689655
28512,26.0,752.0,0.034574468085106384
42007,21.0,603.0,0.03482587064676617
18686,23.0,660.0,0.03484848484848485
120658,43.0,1163.0,0.03697334479793637
104486,51.0,1280.0,0.03984375
43982,25.0,606.0,0.041254125412541254
45791,180.0,4310.0,0.04176334106728538
45618,89.0,2065.0,0.043099273607748186
110689,94.0,2111.0,0.04452865940312648
15252,28.0,598.0,0.046822742474916385
36658,71.0,1477.0,0.04807041299932295
110932,108.0,2129.0,0.050728041333959605
46820,34.0,659.0,0.051593323216995446
45462,21.0,395.0,0.053164556962025315
43323,40.0,752.0,0.05319148936170213
121779,447.0,7121.0,0.06277208257267237
12904,32.0,399.0,0.08020050125313283
120347,236.0,2168.0,0.1088560885608856
4585,53.0,476.0,0.11134453781512606
35034,112.0,997.0,0.1123370110330993
45043,28.0,245.0,0.11428571428571428
45642,42.0,344.0,0.12209302325581395
40968,29.0,217.0,0.1336405529953917
38575,43.0,257.0,0.16731517509727625
119450,258.0,1254.0,0.20574162679425836
112583,580436.0,1934788.0,0.29999979325900306
